Title	URL	Assignees	Status	Estimated size	Real size	Labels
Ensure Knowledge Graph Correctness	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/145		Product Backlog			Backend, medium priority
Combining all document sub-graphs into one	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/126		Product Backlog			Backend, high priority
API: Retrieving the Knowledge Graph	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/73		Product Backlog			Backend, Frontend, high priority
API Test Environment	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/108		Product Backlog			Backend, Frontend, low priority
Creating Chats	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/151		Product Backlog			Frontend, high priority
Persistent Chat History 	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/146		Product Backlog			Frontend, high priority
Connect Chat Screen with LLM Chat Agent	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/152		Product Backlog			Frontend, medium priority
Chat Overview	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/114		Product Backlog			Frontend, medium priority
Integrate Camera Scanning	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/156		Product Backlog			Frontend, low priority
Voice Chat Indicator	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/125		Product Backlog			Frontend, low priority
Knowledge Graph Context into LLM Prompts	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/75		Sprint Backlog	8		Backend, medium priority
Componentisation - Technical Debt - Beautify	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/97	hannes-v	In Progress	5		Frontend, medium priority
API: LLM Chat Agent	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/115	MuhammadZeeshan2	In Progress	5		Backend, high priority
Knowledge Graph Refinement	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/148	Hossam-Amer	In Progress	5		Backend, medium priority
Preview of Uploaded Documents	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/12	VogtIndustries	In Progress	2		Frontend, low priority
Fix: Knowledge Graph Extraction API	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/142	AbdulHaseeb-SE, hasnatahmed331	In Progress	3		Backend, Frontend, high priority
