Title	URL	Assignees	Status	Estimated size	Real size	Labels
Setup Elevenlabs Agent in IP project	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/249	hasnatahmed331, MuhammadZeeshan2	Sprint Backlog	3		Backend, Frontend, high priority
Frontend Code Cleanup	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/287		Sprint Backlog			Frontend, high priority
Frontend Documentation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/286	hannes-v	In Progress			Deliverable, Frontend, high priority
Remove STT Testpage button	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/271	VogtIndustries	Awaiting Review	1		Frontend, medium priority
Fix Logout button	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/268	VogtIndustries	Awaiting Review	1		Frontend, medium priority
Make Document Detail Narrative Scrollable	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/259		Awaiting Review	1		Frontend, medium priority
Remove "Download graph" Button	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/260	VogtIndustries	Awaiting Review	1		Frontend, medium priority
Remove Microphone Button (Dictate)	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/269	VogtIndustries	Awaiting Review	1		Frontend, medium priority
Duplicate Add Page / Camera Button	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/261	VogtIndustries	Awaiting Review	1		Frontend, low priority
Fix 'delete' swipe gesture in Chats page	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/277	VogtIndustries	Awaiting Review	1		bug, Frontend
Make Upload Page Scrollable	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/278	VogtIndustries	Awaiting Review	1		bug, Frontend
Make font bigger	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/272	VogtIndustries	Awaiting Review	1		Frontend, low priority
Submit Chat message via "Enter"	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/280	VogtIndustries	Awaiting Review	1		Frontend
Update Documentation + Architecture Description	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/250	hasnatahmed331, Hossam-Amer	Awaiting Review			Backend, Deliverable, Frontend, high priority
Code Cleanup + Code Documentation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/257	hasnatahmed331, Hossam-Amer, MuhammadZeeshan2	Awaiting Review	5		Backend, Frontend, low priority
Make backend robust to vector DB not being available	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/275	hasnatahmed331, Hossam-Amer	Awaiting Review	2		Backend, medium priority
Update ReadMe	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/255	hasnatahmed331, MuhammadZeeshan2	Awaiting Review	3		Backend, Frontend, high priority
Update Dependencies List	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/256	hasnatahmed331, Hossam-Amer	Awaiting Review			Backend, Deliverable, Frontend, high priority
Add names of papers used to the llm reply metadata	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/274	AbdulHaseeb-SE	Awaiting Review	3		Backend, low priority
AI Voice Call using ElevenLabs	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/182	hannes-v	Feature Archive	8	13	Frontend, high priority
Connect Voice Call Mode with App UI	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/215	hannes-v	Feature Archive	2	2	Frontend, medium priority
Formatting of chat messages	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/232	VogtIndustries	Feature Archive	3	3	Frontend, medium priority
Knowledge Graph Visualisation Instructions Wiki	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/244	AbdulHaseeb-SE, MuhammadZeeshan2	Feature Archive	2	2	Backend, high priority
Downloading all Research Papers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/233	Hossam-Amer	Feature Archive	5	8	Backend, high priority
Knowledge Graph Context + Research Paper RAG Hybrid LLM Approach	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/187	hasnatahmed331, MuhammadZeeshan2	Feature Archive	8	8	Backend, high priority
Integrate full Research Paper Knowledge Base into RAG contextualisation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/243	hasnatahmed331	Feature Archive	8	8	Backend, high priority
Add Chat Message Thinking States	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/196	VogtIndustries	Feature Archive	2	2	Frontend, low priority
Custom LLM API for Elevenlabs Voice Chat Agents	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/188	hasnatahmed331, MuhammadZeeshan2	Feature Archive	8	8	Backend, medium priority
Expo Build Pipeline	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/234	hannes-v	Feature Archive	5	5	Frontend
