Title	URL	Assignees	Status	Estimated size	Real size	Labels
Fix: Retrieving the Knowledge Graph	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/73		Product Backlog			Backend, Frontend, high priority
Chat Agent Memory	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/167		Product Backlog			Backend, high priority
Knowledge Graph for research papers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/168		Product Backlog			Backend, high priority
Ensure Knowledge Graph Correctness	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/145		Product Backlog			Backend, medium priority
API Test Environment	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/108		Product Backlog			Backend, Frontend, low priority
Connect Chat Screen with LLM Chat Agent	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/152		Product Backlog			Frontend, high priority
Dictate Chat Function	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/116		Product Backlog			Frontend, medium priority
Integrate Camera Scanning	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/156		Product Backlog			Frontend, low priority
Voice Chat Indicator	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/125		Product Backlog			Frontend, low priority
Password show/hide button	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/163		Product Backlog			Frontend, low priority
Fix: Knowledge Graph Extraction API	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/142	AbdulHaseeb-SE, hasnatahmed331	In Progress	3		Backend, Frontend, urgent
API: LLM Chat Agent	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/115	MuhammadZeeshan2	In Progress	5		Backend, urgent
Deploy user knowledge graph in backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/161	AbdulHaseeb-SE, hasnatahmed331	In Progress	3		Backend, high priority
Combining all document sub-graphs into one	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/126	hasnatahmed331	In Progress	5		Backend, high priority
Chat Overview	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/114	VogtIndustries	In Progress	3		Frontend, medium priority
Preview of Uploaded Documents	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/12	VogtIndustries	In Progress	2		Frontend, low priority
Knowledge Graph Context into LLM Prompts	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/75	Hossam-Amer	In Progress	8		Backend, medium priority
Componentisation - Technical Debt - Beautify	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/97	hannes-v	Awaiting Review	5		Frontend, medium priority
Chat Database	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/162	hannes-v	Awaiting Review	5		Frontend, urgent
Persistent Chat History 	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/146	hannes-v	Awaiting Review	5		Frontend, high priority
Creating Chats	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/151	hannes-v	Awaiting Review	1		Frontend, high priority
User Guide for Visualising Knowledge Graphs using Neo4j	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/166		Feature Archive			Frontend, low priority
Knowledge Graph Refinement	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/148	hasnatahmed331, Hossam-Amer	Feature Archive	5	5	Backend, medium priority
Fix: Uploading Documents	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/141	hannes-v	Feature Archive	1	1	Frontend, high priority
Generate Embeddings	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/60		Feature Archive			Backend, Blocked, medium priority
Chat Screen	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/52	andrewluka	Feature Archive	5	5	Frontend, high priority, visual
Deleting Documents	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/129	andrewluka	Feature Archive	3	5	Frontend, medium priority
Fix: Account Signup	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/113	hannes-v	Feature Archive	3	3	Frontend, high priority
Documentation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/94	AbdulHaseeb-SE, MuhammadZeeshan2, VogtIndustries	Feature Archive			Deliverable, urgent
Connecting Document Upload to Backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/69	hannes-v	Feature Archive	3	5	Frontend, urgent
Connecting Document Views to Backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/90	hannes-v	Feature Archive	5	3	Frontend, urgent
Home Screen with Appropriate Navigation Options	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/13	VogtIndustries	Feature Archive	3	5	Frontend, medium priority
Simple Combining Knowledge Graphs	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/109	Hossam-Amer, MuhammadZeeshan2	Feature Archive	8	5	Backend, medium priority
Connect Knowledge Extraction UI to Backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/96	andrewluka	Feature Archive	5	3	Frontend, high priority
Backend Deployment: Knowledge Graph Components	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/89	AbdulHaseeb-SE, hasnatahmed331, Hossam-Amer, MuhammadZeeshan2	Feature Archive	8	5	Backend, high priority
API: Knowledge Graph Extraction Status	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/104		Feature Archive			Already done?, Backend, medium priority
User Registration (Sign Up) View	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/54	hannes-v, VogtIndustries	Feature Archive	1	1	Frontend, medium priority, visual
User Registration (Functionality)	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/68	hannes-v	Feature Archive	3	2	Frontend, medium priority
Login Authentication Process 	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/37	AbdulHaseeb-SE, hannes-v, hasnatahmed331	Feature Archive	5	5	Backend, Frontend, medium priority
