Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
Use Admin Rights for Branch Protection Rule	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/83		Todo		
Finish Work until Monday	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/78		Todo		
Finish team meetings within the 90-minute time box	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/34		Todo		
Improve Build Piplineline with automatic artifacts	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/85		Todo		
Prepare releases before the meeting	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/32		In Progress		
Backend Frontend Cross Communication	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/79		In Progress		
Slack License	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/84		In Progress		
Schedule an architecture and tech stack alignment meeting	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/29		Done		
Improve punctuality for team meetings	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/31		Done		
Improve PO-Developer collaboration in ticket creation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/33		Done		
Improve visibility and awareness of Slack channels	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/30		Done		
Improve camera usage during team meetings	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/28		Done		
